Geotek MSCL 7.9 - Poso22.out created at 18:39:54 on 06.03.2023.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Processing Parameters,,,,,,,,,
,,,,,,,,,
CT,RCT=5.9,W=0,,,,,,,
PWAmp,A=1,B=0,,,,,,,
PWVel,PTO=21.7,,,,,,,,
Den1,A=0,B=-.0588191,C=10.07426,,,,,,
MS1,A=1,B=0,Den=0,LD=7,,,,,
FP,MGD=2.75,WD=1.026,,,,,,,
,,,,,,,,,
,,,,,,,,,
SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,Imp,FP
cm,,cm,cm,,m/s,g/cc,SI x 10^-5,,
,,,,,,,,,
1371.6,20,0.4,6.202,0,1025.124,1.0382,2.8575,1064.255,0.9929
1372.1,20,0.9,6.211,0.7732,1393.538,1.1037,2.288,1538.052,0.9549
1372.6,20,1.4,6.241,0.9143,1391.217,1.1693,1.9658,1626.685,0.9169
1373.1,20,1.9,6.252,0.3266,1172.983,1.2917,1.9946,1515.099,0.8459
1373.6,20,2.4,6.293,0.541,1247.374,1.3447,2.1741,1677.386,0.8151
1374.1,20,2.9,6.304,0.484,1253.779,1.3448,2.3725,1686.107,0.8151
1374.6,20,3.4,6.277,0.3975,1171.082,1.3224,2.688,1548.602,0.8281
1375.1,20,3.9,6.243,0,1035.323,1.2944,2.9103,1340.172,0.8443
1375.6,20,4.4,6.123,0,1084.485,1.2871,3.3792,1395.802,0.8486
1376.1,20,4.9,5.963,0.3479,1141.681,1.335,3.726,1524.149,0.8208
1376.6,20,5.4,5.947,1.0056,1332.512,1.3384,3.9557,1783.439,0.8188
1377.1,20,5.9,5.932,0.8841,1334.834,1.3046,4.0726,1741.426,0.8384
1377.6,20,6.4,5.912,0.7262,1336.952,1.313,4.1946,1755.458,0.8335
1378.1,20,6.9,5.885,0.6642,1333.258,1.3074,4.2942,1743.037,0.8368
1378.6,20,7.4,5.882,0.8366,1328.065,1.3431,4.3848,1783.716,0.8161
1379.1,20,7.9,5.87,0.9397,1323.264,1.3244,4.4101,1752.469,0.8269
1379.6,20,8.4,5.87,0.8223,1323.861,1.3402,4.495,1774.253,0.8177
1380.1,20,8.9,5.865,0.7366,1322.137,1.3495,4.5516,1784.245,0.8123
1380.6,20,9.4,5.865,0.8516,1321.244,1.3342,4.5909,1762.778,0.8212
1381.1,20,9.9,5.865,0.8785,1321.839,1.3147,4.5451,1737.813,0.8325
1381.6,20,10.4,5.866,0.8628,1321.767,1.3324,4.5429,1761.129,0.8223
1382.1,20,10.9,5.87,0.9443,1321.774,1.3296,4.5342,1757.385,0.8239
1382.6,20,11.4,5.87,0.8711,1322.072,1.3301,4.5407,1758.547,0.8236
1383.1,20,11.9,5.87,0.7931,1322.668,1.3168,4.5342,1741.744,0.8313
