depth	min	max	median	mean
0	2023	2023	2023	2023
1e-04	2023	2023	2023	2023
0.1	2023	2023	2023	2023
0.2	2023	2023	2023	2023
0.3	2023	2023	2023	2023
0.4	2023	2023	2023	2023
0.5	2023	2023	2023	2023
0.6	2023	2023	2023	2023
0.7	2023	2023	2023	2023
0.8	2023	2023	2023	2023
0.9	2023	2023	2023	2023
1	2023	2023	2023	2023
1.1	2023	2023	2023	2023
1.2	2023	2023	2023	2023
1.3	2023	2023	2023	2023
1.4	2023	2023	2023	2023
1.5	2023	2023	2023	2023
1.6	2023	2023	2023	2023
1.7	2023	2023	2023	2023
1.8	2023	2023	2023	2023
1.9	2023	2023	2023	2023
2	2023	2023	2023	2023
2.1	2023	2023	2023	2023
2.2	2023	2023	2023	2023
2.2001	2023	2023	2023	2023
2.3	2022.5	2022.7	2022.6	2022.6
2.4	2022	2022.5	2022.3	2022.3
2.5	2021.5	2022.2	2021.9	2021.9
2.6	2021.1	2022	2021.6	2021.5
2.7	2020.6	2021.7	2021.2	2021.2
2.8	2020.1	2021.4	2020.8	2020.8
2.9	2019.6	2021.2	2020.5	2020.5
3	2019.1	2020.9	2020.1	2020.1
3.1	2018.7	2020.7	2019.8	2019.8
3.2	2018.2	2020.4	2019.4	2019.4
3.3	2017.8	2020	2019	2019
3.4	2017.4	2019.7	2018.6	2018.6
3.5	2017	2019.3	2018.2	2018.2
3.6	2016.6	2018.9	2017.8	2017.8
3.7	2016.1	2018.6	2017.4	2017.4
3.8	2015.7	2018.3	2017	2017
3.9	2015.2	2018	2016.6	2016.6
4	2014.7	2017.7	2016.2	2016.2
4.1	2014.2	2017.4	2015.8	2015.8
4.2	2013.8	2017.1	2015.4	2015.4
4.3	2012.9	2016.3	2014.6	2014.6
4.4	2012	2015.4	2013.7	2013.7
4.5	2011.1	2014.6	2012.9	2012.9
4.6	2010.2	2013.8	2012	2012
4.7	2009.3	2013	2011.2	2011.2
4.8	2008.3	2012.3	2010.3	2010.3
4.9	2007.3	2011.6	2009.5	2009.5
5	2006.3	2010.8	2008.6	2008.6
5.1	2005.3	2010.1	2007.8	2007.7
5.2	2004.3	2009.4	2006.9	2006.9
5.3	2003.5	2008.6	2006.1	2006.1
5.4	2002.7	2007.8	2005.3	2005.3
5.5	2001.9	2007.1	2004.5	2004.5
5.6	2001	2006.3	2003.7	2003.7
5.7	2000.1	2005.6	2002.9	2002.9
5.8	1999.2	2004.9	2002.1	2002.1
5.9	1998.3	2004.2	2001.3	2001.3
6	1997.3	2003.5	2000.5	2000.5
6.1	1996.4	2002.8	1999.7	1999.7
6.2	1995.5	2002.2	1998.9	1998.9
6.3	1995	2001.6	1998.4	1998.4
6.4	1994.4	2001.1	1997.9	1997.8
6.5	1993.9	2000.6	1997.3	1997.3
6.6	1993.4	2000.1	1996.8	1996.8
6.7	1992.8	1999.6	1996.3	1996.2
6.8	1992.2	1999.1	1995.7	1995.7
6.9	1991.6	1998.6	1995.2	1995.2
7	1991	1998.2	1994.7	1994.6
7.1	1990.4	1997.7	1994.1	1994.1
7.2	1989.7	1997.2	1993.6	1993.6
7.3	1988.9	1996.5	1992.8	1992.8
7.4	1988.1	1995.8	1992	1992
7.5	1987.3	1995	1991.3	1991.3
7.6	1986.5	1994.3	1990.5	1990.5
7.7	1985.7	1993.7	1989.7	1989.7
7.8	1984.9	1993	1989	1989
7.9	1984	1992.4	1988.2	1988.2
8	1983.1	1991.7	1987.5	1987.4
8.1	1982.2	1991.1	1986.7	1986.7
8.2	1981.2	1990.5	1986	1985.9
8.3	1980.7	1990	1985.4	1985.4
8.4	1980.2	1989.5	1984.9	1984.9
8.5	1979.6	1989	1984.3	1984.3
8.6	1979.1	1988.5	1983.8	1983.8
8.7	1978.6	1988	1983.3	1983.3
8.8	1978	1987.5	1982.7	1982.7
8.9	1977.4	1987	1982.2	1982.2
9	1976.8	1986.6	1981.7	1981.7
9.1	1976.2	1986.2	1981.1	1981.2
9.2	1975.5	1985.8	1980.6	1980.6
9.3	1974.9	1985.2	1980.1	1980.1
9.4	1974.3	1984.8	1979.5	1979.5
9.5	1973.7	1984.3	1979	1979
9.6	1973.1	1983.9	1978.4	1978.4
9.7	1972.4	1983.4	1977.9	1977.9
9.8	1971.8	1982.9	1977.3	1977.3
9.9	1971.1	1982.4	1976.8	1976.8
10	1970.4	1982	1976.2	1976.2
10.1	1969.8	1981.6	1975.7	1975.7
10.2	1969.2	1981.1	1975.1	1975.1
10.3	1967.9	1980	1973.8	1973.9
10.4	1966.6	1978.8	1972.6	1972.6
10.5	1965.2	1977.6	1971.3	1971.3
10.6	1963.8	1976.5	1970	1970
10.7	1962.4	1975.4	1968.7	1968.8
10.8	1960.9	1974.3	1967.5	1967.5
10.9	1959.4	1973.3	1966.2	1966.2
11	1957.8	1972.2	1964.9	1964.9
11.1	1956.3	1971.1	1963.6	1963.7
11.2	1954.8	1970.2	1962.4	1962.4
11.3	1953.2	1969.1	1960.9	1961
11.4	1951.4	1967.9	1959.5	1959.5
11.5	1949.6	1966.7	1958	1958.1
11.6	1947.9	1965.7	1956.5	1956.7
11.7	1946	1964.5	1955.1	1955.2
11.8	1944.2	1963.5	1953.7	1953.8
11.9	1942.4	1962.5	1952.2	1952.3
12	1940.5	1961.5	1950.8	1950.9
12.1	1938.7	1960.5	1949.4	1949.5
12.2	1936.7	1959.5	1947.9	1948
12.3	1934.5	1958.2	1946.1	1946.2
12.4	1932.4	1957	1944.3	1944.4
12.5	1930.2	1955.7	1942.5	1942.6
12.6	1927.7	1954.5	1940.6	1940.8
12.7	1925.3	1953.3	1938.8	1939
12.8	1922.9	1952.1	1937	1937.2
12.9	1920.4	1950.9	1935.2	1935.4
13	1917.8	1949.8	1933.5	1933.6
