"","position..mm.","Fe.x","Mn.x","S.x","Ti.x","Al.x","Si.x","K.x","Rb.x","Zr.x","Ca.x","Sr.x","P.x","Ba.x","mean_gray","RABD673","Moving.Average","TChl.ug.g","TNWt","TCWt","TSWt","Fe.y","Mn.y","S.y","Ti.y","Al.y","Si.y","K.y","Rb.y","Zr.y","Ca.y","Sr.y","P.y","Ba.y","Fe","Mn","S","Ti","Al","Si","K","Rb","Zr","Ca","Sr","P","Ba","facies_class","Cr.inc","Cr.coh","Mn_Fe","S_Ti","Fe_Ti","Si_Ti","Mn_Ti","Ba_Ti","Ca_Ti","Ti_Al","Si_Al","Zr_Rb","TCWt_TNWt","Cr.inc_Cr.coh"
"1",25.29,432782,5351,1014,185276,3682,25908,244010,5734,3062,67935,1518,520,5913,0.171532388134741,1.03329817835371,1.03213190153275,6.53668167857168,0.222368150949478,2.61070275306702,0.0844803154468536,3.63460815565769,-0.758342522031741,-2.42172307619192,2.78622062384422,-1.13216989855002,0.818925819959762,3.06158322669905,-0.68921261389973,-1.31655768412542,1.78292538431538,-2.01823230238747,-3.08955244876757,-0.658472664522216,0.440398695437593,0.00544517428933403,0.00103184577263777,0.18853674296966,0.00374680092194504,0.0263639647707094,0.24830442503091,0.00583491485237177,0.0031158893055393,0.0691306139685867,0.00154471586081276,0.00052915167827578,0.00601706514162439,1,321731,483859,-4.39295067768943,-5.20794370003614,0.848387531813474,-1.96729480388446,-3.54456314587596,-3.44469328836643,-1.00329523952884,3.91839052239424,1.95109571850978,-0.627345070225686,2.46304037216401,-0.408077749286451
"2",25.79,439409,6600,972,188177,3709,25982,247546,5991,3125,70826,1552,469,6177,0.197086994942772,1.03472426589083,1.03505299800582,6.78173436016642,0.222368150949478,2.61070275306702,0.0844803154468536,3.62740064548176,-0.570960347702714,-2.48642947125679,2.77935301253343,-1.14726769822764,0.799373993838447,3.05356642658994,-0.667771653633306,-1.31859571354673,1.80219616818996,-2.01848557497407,-3.21518250727095,-0.637197280021332,0.43917404188759,0.00659647088807488,0.000971480258061937,0.188076379137162,0.00370701674604087,0.0259681070627214,0.247413633705967,0.00598779652885706,0.00312332901897485,0.070788128351332,0.00155117012398367,0.000468749219167745,0.00617369707206644,2,331828,490266,-4.19836099318447,-5.26578248379022,0.848047632948325,-1.97997901869498,-3.35031336023615,-3.41655029255476,-0.977156844343468,3.92662071076107,1.94664169206609,-0.650824059913423,2.46304037216401,-0.390331338572379
"3",26.29,430405,6762,1002,182396,3233,24163,237925,5521,3039,68393,1309,444,6057,0.177571360127762,1.03839122120815,1.04091735599563,7.41184801757466,0.222368150949478,2.61070275306702,0.0844803154468536,3.65562528661335,-0.497782634981421,-2.40710333660444,2.79707880830809,-1.23569084052382,0.775721198276202,3.06285415869129,-0.700542335965208,-1.29757282533246,1.81616914094309,-2.13983785233935,-3.22103205581703,-0.607886711268305,0.443419814989765,0.00696647294748153,0.00103229900818937,0.187911387123461,0.00333076117113395,0.0248936536276244,0.245119502518418,0.00568794693035278,0.00313089489609529,0.0704611038593766,0.00134858223724539,0.000457425907820438,0.00624015478303692,1,335646,489335,-4.15340792159477,-5.20418214491253,0.858546478305261,-2.02135761003189,-3.29486144328951,-3.4049655195764,-0.980909667365001,4.03276964883191,2.01141203880002,-0.597030489367251,2.46304037216401,-0.37699029335698
"4",26.79,419479,6963,1056,172416,2903,20574,221825,5728,3147,64005,1414,400,5909,0.153083086386894,1.05578623428384,1.05421992450655,10.4009314290938,0.222368150949478,2.61070275306702,0.0844803154468536,3.65954657743356,-0.438856471665512,-2.32497870234185,2.77044327372192,-1.31372220258343,0.644561255082917,3.02242189509548,-0.634100457967577,-1.23301726954365,1.77949431768215,-2.03304432015154,-3.29575761950008,-0.602990275262384,0.45308964279195,0.00752090851451526,0.00114061171784118,0.186230785931159,0.00313560209933043,0.0222224862527125,0.239598668854279,0.00618695446950214,0.00339915253413464,0.0691333835231293,0.00152729637218506,0.000432049893121658,0.00638245704613969,1,337577,480875,-4.09840304909907,-5.09542197606377,0.889103303711638,-2.12588201863901,-3.20929974538743,-3.37343354898431,-0.990948956039771,4.08416547630535,1.95828345766635,-0.598916811576075,2.46304037216401,-0.353813728633557
"5",27.29,406980,7080,943,169191,2584,19108,215388,5562,3548,60743,1509,415,5411,0.142988143021915,1.07106401886463,1.06429534767831,13.026199501988,0.222368150949478,2.61070275306702,0.0844803154468536,3.6534054323921,-0.398084704088312,-2.41404760814262,2.7756696424741,-1.40602002587358,0.594748483733775,3.01708244107006,-0.639400855982167,-1.08897454734661,1.7512932374502,-1.94391143200823,-3.23483537054538,-0.666924693133342,0.452974082376328,0.00788013293828787,0.00104957137864484,0.188311803949416,0.0028760259198497,0.0212674548283622,0.239729671371744,0.00619057901168886,0.00394897057415895,0.0676077563658786,0.00167953680845712,0.00046190044765388,0.00602251402953046,1,326453,468341,-4.05149013648041,-5.18971725061672,0.877735789917999,-2.18092115874033,-3.17375434656242,-3.44259433560745,-1.0243764050239,4.18168966834769,2.00076850960736,-0.44957369136444,2.46304037216401,-0.360910675713368
"6",27.79,401540,7355,1102,170295,2879,20937,221753,6449,3633,61853,1609,457,5583,0.159377283293409,1.05682436278457,1.05709276744833,10.5793189167633,0.222368150949478,2.61070275306702,0.0844803154468536,3.57862383031002,-0.421302970462012,-2.31955661378469,2.72084890276919,-1.35924031288537,0.624834604187712,2.98488082533135,-0.552758244487172,-1.12662457127635,1.70807727759302,-1.94107045650517,-3.19975521260334,-0.696957058187189,0.443472546648333,0.00812307760272573,0.00121708110376666,0.188078789987244,0.00317965199432323,0.0231234365422527,0.244910513614852,0.00712246464445659,0.00401239169690042,0.0683122663441733,0.00177702676584442,0.000504724196389621,0.00616602885873797,1,312246,456222,-3.99992680077203,-5.04040551655388,0.857774927540826,-2.09601429858148,-3.14215187323121,-3.41780596095638,-1.01277162517617,4.08008921565457,1.98407491707309,-0.573866326789175,2.46304037216401,-0.379188194475044
"7",28.29,488180,6990,1611,193793,3983,27547,259667,6930,3032,70986,1121,537,5422,0.170107246325375,1.04392893738428,1.0446241539607,8.36342508668864,0.222368150949478,2.61070275306702,0.0844803154468536,3.68094318431378,-0.565260449743318,-2.0328859017942,2.75704957310425,-1.12770570178953,0.806152630758662,3.04965903490983,-0.573881192787225,-1.40051853820891,1.75274166851054,-2.39551986189901,-3.13149819046231,-0.819276254912563,0.456328712216033,0.00653393768362094,0.00150589035884311,0.181148982191982,0.00372312929812049,0.0257496969056804,0.242725035263634,0.00647785238161561,0.00283417726133601,0.0663545208025059,0.00104786039246625,0.000501963452947703,0.00506824179121499,1,322727,495176,-4.2462036340571,-4.78993547489845,0.923893611209527,-1.95089694234559,-3.32231002284757,-3.57632582801682,-1.00430790459371,3.88475527489378,1.93385833254819,-0.826637345421687,2.46304037216401,-0.428106490329037
"8",28.79,416910,6417,1880,172889,3672,25400,235136,5872,2321,63905,1188,487,6630,0.179344280602136,1.03777547571761,1.03984846066521,7.30604098980884,0.222368150949478,2.61070275306702,0.0844803154468536,3.58784204445779,-0.586077607940428,-1.81375654986695,2.70762144336663,-1.14429185395056,0.789720847315685,3.0151357434438,-0.674833035396592,-1.60303019941651,1.71236927887487,-2.27275710576835,-3.16451948260835,-0.553423522511035,0.44224769732271,0.00680699305298465,0.00199425696425294,0.183396325687621,0.00389516573017915,0.0269436845170345,0.249426385929032,0.00622887068834749,0.0024620587308676,0.0677888251598853,0.0012602006774109,0.000516597415739991,0.00703293812393458,2,369824,492345,-4.17391965239822,-4.52137799323357,0.880220601091167,-1.91790059605094,-3.29369905130705,-3.26104496587766,-0.995252164491755,3.85191329731719,1.93401270126625,-0.928197164019914,2.46304037216401,-0.286152473471942
"9",29.29,349759,6855,1360,146625,2534,16854,184772,5501,3023,54590,1083,441,5455,0.185797216455209,1.04552425152984,1.04228921155313,8.63755693286243,0.222368150949478,2.61070275306702,0.0844803154468536,3.56342258382723,-0.368843449039191,-1.98633706230551,2.69405654492017,-1.36402268015452,0.530766255296693,2.92530087052302,-0.588891868160147,-1.18757204625615,1.7060289537402,-2.21408679403461,-3.11253216558876,-0.597289142768434,0.449069913154232,0.00880141541653613,0.00174615973252942,0.188257846163328,0.00325350644281584,0.0216395412735667,0.237236342719798,0.00706295932988552,0.00388135358193855,0.0700903380873388,0.00139050808112453,0.000566217972092259,0.00700389804481468,2,331521,443308,-3.93226603286642,-4.68039360722568,0.869366038907062,-2.16329028962348,-3.06289999395936,-3.29134568768861,-0.988027591179973,4.05807922507469,1.89478893545121,-0.598680178096,2.46304037216401,-0.290573632022051
"10",29.79,369244,6506,1532,162791,2771,18626,206426,5504,3228,57284,1337,366,5883,0.159060519918374,1.04431026310044,1.0457029730524,8.42895043970741,0.222368150949478,2.61070275306702,0.0844803154468536,3.56071422230244,-0.478018621772183,-1.92416937850494,2.74172371966168,-1.3315351839425,0.573815004276124,2.97919854484289,-0.6452683491923,-1.17888069941564,1.69727790279311,-2.06031515170354,-3.35586539540411,-0.578676613941023,0.438793675088949,0.00773145034212797,0.00182056285338765,0.1934538168837,0.00329293711928014,0.0221343366234976,0.245307772567493,0.00654071667431176,0.00383601624721627,0.068073839747688,0.00158883324737551,0.00043493864513047,0.00699110395984304,1,324378,446150,-4.03873284407462,-4.66589309816662,0.81899050264076,-2.16790871538555,-3.21974234143386,-3.3204003336027,-1.04444581686856,4.07325890360418,1.90535018821862,-0.53361235022334,2.46304037216401,-0.318745715913862
