"","position..mm.","Fe.x","Mn.x","S.x","Ti.x","Al.x","Si.x","K.x","Rb.x","Zr.x","Ca.x","Sr.x","P.x","Ba.x","Zn.x","Ni.x","mean_gray","RABD673","Moving.Average","TChl.ug.g","TNWt","TCWt","TSWt","Fe.y","Mn.y","S.y","Ti.y","Al.y","Si.y","K.y","Rb.y","Zr.y","Ca.y","Sr.y","P.y","Ba.y","Zn.y","Ni.y","Fe","Mn","S","Ti","Al","Si","K","Rb","Zr","Ca","Sr","P","Ba","Zn","Ni","facies_class","Cr.inc","Cr.coh","Mn_Fe","S_Ti","Fe_Ti","Si_Ti","Mn_Ti","Ba_Ti","Ca_Ti","Ti_Al","Si_Al","Zr_Rb","TCWt_TNWt","Cr.inc_Cr.coh"
"1",25.29,432782,5351,1014,185276,3682,25908,244010,5734,3062,67935,1518,520,5913,3109,6023,0.171532388134741,1.03329817835371,1.03213190153275,6.53668167857168,0.222368150949478,2.61070275306702,0.0844803154468536,3.76403251282993,-0.628918164859501,-2.29229871901968,2.91564498101646,-1.00274554137778,0.948350177132002,3.19100758387129,-0.55978825672749,-1.18713332695318,1.91234974148762,-1.88880794521523,-2.96012809159533,-0.529048307349976,-1.17190049311205,-0.510616150127084,0.43634387505205,0.00539503970914576,0.00102234540554547,0.186800855382487,0.00371230353374597,0.0261212275807416,0.246018246949852,0.00578119186922851,0.00308720082029608,0.0684941174809974,0.00153049341776925,0.000524279695151522,0.00596166507198259,0.00313458763889631,0.0060725703921108,1,321731,483859,-4.39295067768943,-5.20794370003614,0.848387531813473,-1.96729480388446,-3.54456314587596,-3.44469328836643,-1.00329523952884,3.91839052239424,1.95109571850978,-0.627345070225686,2.46304037216401,-0.408077749286451
"2",25.79,439409,6600,972,188177,3709,25982,247546,5991,3125,70826,1552,469,6177,2970,6119,0.197086994942772,1.03472426589083,1.03505299800582,6.78173436016642,0.222368150949478,2.61070275306702,0.0844803154468536,3.76180726922677,-0.436553723957703,-2.35202284751178,2.91375963627844,-1.01286107448263,0.933780617583458,3.18797305033495,-0.533365029888295,-1.18418908980172,1.93660279193497,-1.88407895122906,-3.08077588352594,-0.502790656276321,-1.23506142017547,-0.512224688509679,0.435220438499877,0.00653708707399983,0.000962734641807247,0.186383247624858,0.00367364484204021,0.0257343327813126,0.245186326790964,0.00593389222126257,0.00309521168276507,0.070150868045926,0.00153720593012844,0.000464529369349382,0.00611811922062075,0.00294168918329992,0.00606067209178863,2,331828,490266,-4.19836099318447,-5.26578248379022,0.848047632948325,-1.97997901869498,-3.35031336023615,-3.41655029255476,-0.977156844343468,3.92662071076107,1.94664169206609,-0.650824059913423,2.46304037216401,-0.390331338572379
"3",26.29,430405,6762,1002,182396,3233,24163,237925,5521,3039,68393,1309,444,6057,2989,5710,0.177571360127762,1.03839122120815,1.04091735599563,7.41184801757466,0.222368150949478,2.61070275306702,0.0844803154468536,3.78769493805099,-0.365712983543787,-2.27503368516681,2.92914845974573,-1.10362118908619,0.907790849713836,3.19492381012893,-0.568472684527574,-1.16550317389483,1.94823879238073,-2.00776820090172,-3.08896240437939,-0.475817059830671,-1.18209280452768,-0.534812664161562,0.439481165019993,0.00690459366844064,0.00102312967402803,0.18624227547307,0.00330117588436388,0.0246725372390611,0.242942243206705,0.00563742408214445,0.00310308490955207,0.0698352373211565,0.00133660353623023,0.000453362849569305,0.00618472698162451,0.00305203053460057,0.00583040961946111,1,335646,489335,-4.15340792159477,-5.20418214491253,0.858546478305261,-2.02135761003189,-3.29486144328951,-3.4049655195764,-0.980909667365001,4.03276964883191,2.01141203880002,-0.597030489367251,2.46304037216401,-0.37699029335698
"4",26.79,419479,6963,1056,172416,2903,20574,221825,5728,3147,64005,1414,400,5909,2980,5759,0.153083086386894,1.05578623428384,1.05421992450655,10.4009314290938,0.222368150949478,2.61070275306702,0.0844803154468536,3.78729635251423,-0.311106696584846,-2.19722892726119,2.89819304880259,-1.18597242750276,0.772311030163582,3.15017167017615,-0.506350682886911,-1.10526749446299,1.90724409276282,-1.90529454507087,-3.16800784441941,-0.475240500181718,-1.15979381202794,-0.50095326402072,0.448852826683844,0.00745058091632622,0.00112994592095943,0.184489352185739,0.00310628125809206,0.0220146850168743,0.237358194996993,0.0061291006015678,0.00336736724740466,0.0684869210899698,0.00151301470855741,0.000428009818545237,0.00632277504445952,0.00318867314816202,0.00616227136250506,1,337577,480875,-4.09840304909907,-5.09542197606377,0.889103303711638,-2.12588201863901,-3.20929974538743,-3.37343354898431,-0.990948956039771,4.08416547630535,1.95828345766635,-0.598916811576075,2.46304037216401,-0.353813728633557
"5",27.29,406980,7080,943,169191,2584,19108,215388,5562,3548,60743,1509,415,5411,2984,5639,0.142988143021915,1.07106401886463,1.06429534767831,13.026199501988,0.222368150949478,2.61070275306702,0.0844803154468536,3.77925515215352,-0.272234984326891,-2.2881978883812,2.90151936223552,-1.28017030611216,0.720598203495196,3.14293216083149,-0.513551136220747,-0.963124827585187,1.87714295721163,-1.81806171224681,-3.10898565078396,-0.541074973371921,-1.13624420969101,-0.499802147207475,0.448667985910912,0.00780522222283468,0.00103959386386061,0.186521660042885,0.00284868562483119,0.0210652805415149,0.237450735046881,0.0061317296614981,0.00391143057155614,0.0669650584013626,0.00166357066868044,0.000457509494700056,0.00596526235137832,0.003289658631771,0.00621661696533401,1,326453,468341,-4.05149013648041,-5.18971725061672,0.877735789917999,-2.18092115874033,-3.17375434656242,-3.44259433560745,-1.0243764050239,4.18168966834769,2.00076850960736,-0.44957369136444,2.46304037216401,-0.360910675713368
"6",27.79,401540,7355,1102,170295,2879,20937,221753,6449,3633,61853,1609,457,5583,2933,5727,0.159377283293409,1.05682436278457,1.05709276744833,10.5793189167633,0.222368150949478,2.61070275306702,0.0844803154468536,3.71276709868494,-0.287159702087093,-2.18541334540977,2.85499217114411,-1.22509704451045,0.75897787256263,3.11902409370627,-0.418614976112254,-0.992481302901429,1.84222054596794,-1.80692718813025,-3.06561194422843,-0.56281378981227,-1.20651426614518,-0.537348222728774,0.439271199698065,0.00804612161622571,0.00120555078464728,0.186296979012258,0.00314952877404675,0.022904370942069,0.242590293237648,0.00705498821251388,0.00397437931091067,0.0676650931785736,0.00176019166288337,0.000499942566772964,0.00610761345797255,0.00320860295042692,0.00626514459498635,1,312246,456222,-3.99992680077203,-5.04040551655388,0.857774927540826,-2.09601429858148,-3.14215187323121,-3.41780596095638,-1.01277162517617,4.08008921565457,1.98407491707309,-0.573866326789175,2.46304037216401,-0.379188194475044
"7",28.29,488180,6990,1611,193793,3983,27547,259667,6930,3032,70986,1121,537,5422,3575,6935,0.170107246325375,1.04392893738428,1.0446241539607,8.36342508668864,0.222368150949478,2.61070275306702,0.0844803154468536,3.80153890311814,-0.444664730938963,-1.91229018298984,2.87764529190861,-1.00710998298518,0.926748349563017,3.17025475371418,-0.45328547398287,-1.27992281940456,1.8733373873149,-2.27492414309466,-3.01090247165795,-0.698680536108208,-1.11518011103871,-0.452564233417887,0.451889227989399,0.00647037097719264,0.00149124000633152,0.179386638452517,0.0036869080975906,0.0254991858810766,0.24036363670024,0.00641483131215236,0.00280660440670216,0.0657089777091554,0.00103766607516923,0.000497080002110507,0.00501893439747332,0.00330923837531669,0.00641945961757238,1,322727,495176,-4.2462036340571,-4.78993547489845,0.923893611209527,-1.95089694234559,-3.32231002284757,-3.57632582801682,-1.00430790459371,3.88475527489378,1.93385833254819,-0.826637345421687,2.46304037216401,-0.428106490329037
"8",28.79,416910,6417,1880,172889,3672,25400,235136,5872,2321,63905,1188,487,6630,2960,6162,0.179344280602136,1.03777547571761,1.03984846066521,7.30604098980884,0.222368150949478,2.61070275306702,0.0844803154468536,3.72027311011827,-0.453646542279949,-1.68132548420647,2.84005250902711,-1.01186078829008,0.922151912976163,3.14756680910428,-0.542401969736113,-1.47059913375603,1.84480034453535,-2.14032604010787,-3.03208841694787,-0.420992456850557,-1.22740799271236,-0.494195860873852,0.438009348317818,0.00674175718537679,0.00197514469510805,0.181638718719434,0.00385783580874296,0.0266854655615662,0.247035969696237,0.00616917534557153,0.00243846321135414,0.067139160500468,0.00124812334988743,0.000511646524743415,0.00696553687689701,0.0031098022859148,0.00647385192088075,2,369824,492345,-4.17391965239822,-4.52137799323357,0.880220601091167,-1.91790059605094,-3.29369905130705,-3.26104496587766,-0.995252164491755,3.85191329731719,1.93401270126625,-0.928197164019914,2.46304037216401,-0.286152473471942
"9",29.29,349759,6855,1360,146625,2534,16854,184772,5501,3023,54590,1083,441,5455,2776,5407,0.185797216455209,1.04552425152984,1.04228921155313,8.63755693286243,0.222368150949478,2.61070275306702,0.0844803154468536,3.68868512189807,-0.243580910968356,-1.86107452423467,2.81931908299101,-1.23876014208369,0.656028793367528,3.05056340859386,-0.463629330089312,-1.06230950818531,1.83129149181103,-2.08882425596378,-2.98726962751792,-0.472026604697599,-1.14754818133808,-0.480864813582766,0.444400820802124,0.00870990489622444,0.00172800447248216,0.186300482189483,0.00321967892152191,0.02141454954354,0.234769737051084,0.00698952397288558,0.00384099817670116,0.0693615912888245,0.00137605062036631,0.000560330862032819,0.00693107676278692,0.00352716207030183,0.00687008836964049,2,331521,443308,-3.93226603286642,-4.68039360722568,0.869366038907062,-2.16329028962348,-3.06289999395936,-3.29134568768861,-0.988027591179973,4.05807922507469,1.89478893545121,-0.598680178096,2.46304037216401,-0.290573632022051
"10",29.79,369244,6506,1532,162791,2771,18626,206426,5504,3228,57284,1337,366,5883,2801,5734,0.159060519918374,1.04431026310044,1.0457029730524,8.42895043970741,0.222368150949478,2.61070275306702,0.0844803154468536,3.68905402469627,-0.349678819378347,-1.79582957611111,2.87006352205551,-1.20319538154867,0.702154806669959,3.10753834723672,-0.516928546798465,-1.0505408970218,1.82561770518695,-1.9319753493097,-3.22752559301028,-0.450336811547188,-1.19242715115154,-0.475990279968329,0.434387841413216,0.00765382049873358,0.00180228297019057,0.191511388381392,0.00325987344020762,0.0219120904717817,0.242844689559111,0.00647504273363505,0.00379749962648509,0.0673903248462119,0.00157288011171331,0.000430571518988086,0.00692090777652162,0.00329516618766566,0.00674562046414669,1,324378,446150,-4.03873284407462,-4.66589309816662,0.81899050264076,-2.16790871538555,-3.21974234143386,-3.3204003336027,-1.04444581686856,4.07325890360418,1.90535018821862,-0.53361235022334,2.46304037216401,-0.318745715913862
