%Data filename = Scores_age_AC_500-c1-c3
%Multiplication factor for 99.99% Chi2 CL = 3.97845
%Multiplication factor for  99.9% Chi2 CL = 3.26556
%Multiplication factor for   99% Chi2 CL = 2.51128
%Multiplication factor for   95% Chi2 CL = 1.93841
%Multiplication factor for   90% Chi2 CL = 1.67020
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      0.0006250       64.5158558        7.4448479       12.4343530       14.4311961       18.6960950       24.3115984       29.6189816
      0.0012500       66.2228496        7.4432508       12.4316856       14.4281003       18.6920843       24.3063831       29.6126277
      0.0018750       70.0100782        7.4384641       12.4236909       14.4188217       18.6800636       24.2907519       29.5935842
      0.0025000       71.2171603        7.4305015       12.4103919       14.4033869       18.6600673       24.2647496       29.5619054
      0.0031250       65.1298175        7.4193857       12.3918263       14.3818399       18.6321524       24.2284502       29.5176816
      0.0037500       53.9520579        7.4051482       12.3680468       14.3542417       18.5963980       24.1819568       29.4610383
      0.0043750       42.9970716        7.3878291       12.3391206       14.3206701       18.5529050       24.1254003       29.3921352
      0.0050000       32.8585561        7.3674770       12.3051285       14.2812193       18.5017951       24.0589392       29.3111652
      0.0056250       23.6923427        7.3441483       12.2661651       14.2359987       18.4432103       23.9827580       29.2183532
      0.0062500       19.0090892        7.3179073       12.2223374       14.1851327       18.3773117       23.8970663       29.1139544
      0.0068750       20.9801334        7.2888252       12.1737646       14.1287595       18.3042784       23.8020969       28.9982525
      0.0075000       25.4941806        7.2569800       12.1205770       14.0670305       18.2243063       23.6981047       28.8715582
      0.0081250       24.9133498        7.2224562       12.0629154       14.0001089       18.1376073       23.5853650       28.7342066
      0.0087500       18.1825930        7.1853435       12.0009300       13.9281692       18.0444069       23.4641713       28.5865555
      0.0093750       11.4802671        7.1457370       11.9347794       13.8513955       17.9449441       23.3348340       28.4289831
      0.0100000        8.3352113        7.1037364       11.8646301       13.7699808       17.8394686       23.1976783       28.2618854
      0.0106250        8.7328100        7.0594450       11.7906548       13.6841258       17.7282406       23.0530421       28.0856741
      0.0112500       14.2690839        7.0129697       11.7130320       13.5940374       17.6115281       22.9012743       27.9007743
